label,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
2025-209,4.09209989,3.681800049,4.266600311,50.95570893,32.60405314,1.158835421,0.63985084,0.968587822,0.985562148
2025-210,7.540300116,7.374100201,7.382199541,172.0569307,201.3469712,1.022538332,1.170234587,0.965551302,0.98277873
2025-211,11.16429977,8.348599821,7.742499933,232.5428008,287.5715779,1.441950257,1.23663935,0.906035468,0.961300024
2025-212,7.820800319,9.249000251,7.676400617,206.4755443,254.4455538,1.20486159,1.232327803,0.940471016,0.978761078
2025-213,11.01540029,8.021599799,7.492100447,221.1424531,268.6998737,1.470268634,1.215053328,0.910591607,0.963181797
2025-214,5.954000168,6.186100096,6.435000896,117.7028261,113.9605853,1.080786146,0.968206024,0.96575511,0.983106271
2025-215,6.04029987,5.882500112,6.48399964,115.8352773,112.7683294,1.102252361,0.973523196,0.974469041,0.985470585
2025-216,4.558000155,5.198900029,5.261800438,77.66473926,61.88652992,1.154409886,0.796842048,0.974221382,0.988108832
2025-217,3.463199921,4.221700132,4.088700563,47.13657872,28.65963629,1.21901716,0.608012653,0.960815168,0.981806657
2025-218,4.176099971,3.964000009,4.420800507,54.82703917,36.53062172,1.11523726,0.666288428,0.971092739,0.980562954
2025-219,3.588199988,3.951700032,3.938700259,45.77009505,27.34263216,1.101304288,0.597390766,0.958949765,0.976387528
2025-220,7.167000137,8.366499841,7.876600325,196.4683003,237.7400263,1.167364264,1.210068118,0.944625882,0.972350381
2025-221,9.503500164,6.959099695,8.057499677,197.6259,240.946412,1.365622075,1.219204629,0.947517499,0.975698189
2025-222,6.223999895,7.896900177,9.473100305,192.8402848,230.0870738,1.52202771,1.193148382,0.941631925,0.976787091
2025-223,6.79429993,5.780100077,6.437399983,120.1656028,119.1825435,1.175464065,0.991819129,0.974643345,0.989909884
2025-224,5.784100108,5.672799796,5.80580011,98.81536393,87.5594262,1.023445268,0.886091218,0.965002091,0.98306845
2025-225,4.964699969,4.5132,5.087099969,75.6566431,59.24352553,1.127160323,0.783057814,0.971399003,0.9851048
2025-226,3.033499978,3.581999987,3.421600163,33.64674388,17.4203835,1.180814245,0.517743517,0.965857129,0.979263006
2025-227,2.968300041,3.48620005,3.435100615,33.17446796,17.1202773,1.174476974,0.516067878,0.968323982,0.979619019
2025-228,3.368499875,3.432799876,3.976900131,39.43073785,21.80448746,1.180614599,0.552981979,0.957223038,0.977224269
2025-229,2.964300103,3.351400048,3.169199824,30.08374183,14.63818647,1.130587299,0.486581309,0.961930706,0.974092053
