label,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
R13-2,1,13,2,6.176400184631348,7.555199787020683,8.249199390411377,160.52150301073326,181.7340378871356,1.3355998872834935,1.1321476218359603,0.9665887980730136,0.9848783181020911
R13-3,1,13,3,6.176399812102318,5.878200009465218,8.886400610208511,153.2646409227049,165.2535414691607,1.5117554006157357,1.0782235254934116,0.9501875507493466,0.9924047017772388
R13-4,1,13,4,6.561700068414211,5.866200104355812,8.793099969625473,158.07103320898472,174.27439435387814,1.4989430659033194,1.1025068338958162,0.9545255415572436,0.9903929191512186
R13-5,1,13,5,6.066699884831905,6.189999915659428,8.515799790620804,148.62722718709114,154.05745522825472,1.4036955762245946,1.0365358901187602,0.9350630492745338,0.9772316403144872
R13-6,1,13,6,5.452100001275539,5.194300040602684,6.0621000826358795,91.50349278462932,80.08396819517421,1.1670677541246743,0.8752012164570252,0.9819216648382819,0.9899931849741872
R13-7,1,13,7,6.168899871408939,6.4945999532938,7.608400285243988,144.1636248747389,154.3158363858848,1.2333479945924744,1.0704214500708273,0.9650921033125704,0.9905198467667826
R13-8,1,13,8,8.373299986124039,8.14020000398159,13.021700084209442,304.09839056363194,457.89410027175273,1.599678150148667,1.505743254421925,0.9447423155784825,0.9882824878122766
R13-9,1,13,9,6.820700317621231,7.998200133442879,9.788800776004791,210.26396712301835,271.5498774260458,1.4351606609537577,1.291471292687877,0.9644632363360531,0.988310302818259
R13-10,1,13,10,6.045399978756905,8.14879983663559,11.302199959754944,226.6837076457676,280.4688774726162,1.8695537101713786,1.2372696758202721,0.9140857416698435,0.9692759924681353
2R1-1,2,1,1,7.742900028824806,8.180299773812294,10.609699413180351,243.95830609566275,323.58848653340857,1.370248792272042,1.3264089741897152,0.9343233927423138,0.9751474689651813
2R1-2,2,1,2,7.422000169754028,7.404199987649918,8.343100547790527,188.4434616977369,230.77271336628476,1.126806483037557,1.2246257380712096,0.965515733414054,0.9779470752469
2R1-3,2,1,3,5.61319999396801,5.793699808418751,6.377800554037094,114.356228409993,110.94516504007892,1.1362147368507678,0.9701715995941678,0.9764047603180889,0.9886724532244395
2R1-4,2,1,4,6.811500154435635,7.604200020432472,8.695700764656067,180.3472464409924,210.71495557510136,1.2766205046612888,1.168384656452434,0.9495216013110799,0.9723282592780335
2R1-5,2,1,5,6.781500205397606,6.389300152659416,8.170200139284134,159.33246016288635,179.57027967103548,1.2787316206898582,1.1270162996759099,0.9660571858784838,0.9868699246805779
2R1-6,2,1,6,5.690200068056583,5.465899966657162,6.38279989361763,109.43942569488,101.62512077797166,1.1677491232100294,0.9285969853433366,0.9623012183576988,0.9814886250709846
2R1-7,2,1,7,5.737899988889694,5.17170000821352,6.257499009370804,104.5300035432167,95.72684486180212,1.2099501130059467,0.9157834269299052,0.9681269784643263,0.9844610736762007
2R1-8,2,1,8,5.660700052976608,5.979799851775169,6.706300377845764,119.50749107845166,116.379526521583,1.184712193736416,0.973826205130394,0.964583997822053,0.9847771648431751
2R1-9,2,1,9,5.884800106287003,5.472899973392487,6.84719905257225,108.75586281004152,98.39070139900636,1.251109847770135,0.9046933090022055,0.9476925880093306,0.9752367742340676
2R1-10,2,1,10,7.35509991645813,6.674799881875515,9.490999579429626,203.5879336728734,249.09585227079023,1.4219152255337433,1.2235295470459429,0.9403937932666758,0.973311170616299
2R1-11,2,1,11,5.499099940061569,5.960500054061413,6.515500694513321,112.98352017159772,106.88077769683888,1.1848303841592616,0.9459855520036012,0.9639816337231225,0.9750423554071659
2R2-1,2,2,1,5.787299945950508,5.03349993377924,6.345199793577194,98.59686977677566,87.51212119164116,1.2605939956401484,0.8875750456355208,0.9667921995201969,0.9850998890924776
2R2-2,2,2,2,6.2393998727202415,6.118100136518478,7.2447992861270905,139.37004985934934,145.8918981576951,1.184158337468756,1.046795192402726,0.9616169701571544,0.9836056619912456
2R2-3,2,2,3,7.037299871444702,6.835800036787987,8.635999262332916,179.3291659354033,214.8582901732296,1.263348725219705,1.198122397171157,0.9673892851156486,0.988168743562409
2R2-4,2,2,4,5.3063999861478806,5.743199959397316,6.670000404119492,111.3752146309336,104.94466189808212,1.2569727916348614,0.9422622640579366,0.9660563784727416,0.9881111382886634
2R2-5,2,2,5,5.446000024676323,5.642800033092499,6.242600828409195,108.08406331088096,101.6612474295342,1.1462726404927288,0.9405757362871074,0.9745992755736509,0.9852299207020656
2R2-6,2,2,6,5.728399939835072,6.3947999849915504,6.6877007484436035,126.9126289098907,128.57075318177755,1.1674640071719837,1.0130650849023397,0.9706755181064195,0.9873707437225938
