label,year,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
3R7-9,2023,3,7,9,4.9636999145150185,5.01520000398159,6.4059000462293625,95.6029838960632,84.24932388267842,1.2905494201003196,0.8812415726926668,0.9721283903656588,0.9921424764621808
3R7-10,2023,3,7,10,4.129699990153313,4.588699899613857,5.596000328660011,72.09312806496118,55.65054056999115,1.3550621938646596,0.7719257308386722,0.977769560878996,0.9927147593706304
4R1-1,2023,4,1,1,6.794000044465065,6.0443999245762825,9.310300275683405,166.24304833298805,186.7601039134119,1.540318375994299,1.123416021218089,0.9504516639011412,0.983898512184771
4R1-2,2023,4,1,2,5.702000111341476,5.153700150549412,6.989200413227081,113.46247908889924,108.74902207994776,1.3561519314393942,0.9584580114342608,0.9710660324586728,0.991583380012636
4R1-3,2023,4,1,3,6.155099906027317,5.877800099551678,8.543400093913078,147.1908187844322,157.17060576814734,1.4535030026905331,1.0678016948756226,0.9568656286478988,0.9881690736097668
4R1-4,2023,4,1,4,5.686100013554096,5.722399987280369,7.256000488996506,125.15563198057096,126.18245699171229,1.27609441826563,1.0082043851714215,0.9720748642129622,0.9931068303142534
4R1-5,2023,4,1,5,4.889800027012825,4.675599932670593,7.541099563241005,103.87558899712596,90.11782980432208,1.6128624501313364,0.8675554158043376,0.9357886531580492,0.9827607847039144
4R1-6,2023,4,1,6,6.25930018723011,6.040699779987335,9.090600162744522,165.2750712865352,186.1293334420039,1.504891898925588,1.1261791145702424,0.9538644270298644,0.98925490268339
4R1-7,2023,4,1,7,4.264399968087673,4.267100058495998,5.394699424505234,67.57470500590357,50.41331471826541,1.265054747414894,0.7460382507605638,0.9766301671252164,0.991629047210728
4R1-8,2023,4,1,8,6.490100175142288,5.877099931240082,9.859899803996086,173.24650469614264,197.5187454208924,1.6776811555619788,1.1401023401154378,0.9467279279708528,0.9910105061282464
4R1-9,2023,4,1,9,6.619000248610973,6.229700148105621,10.442400723695757,190.40437704226144,223.45276995176343,1.6762284661278868,1.1735695020402117,0.9352571242871912,0.9891404726192488
4R1-10,2023,4,1,10,5.2619000896811485,6.346099823713303,8.074599876999855,138.41104275797883,144.68822720629174,1.5345407057109566,1.045351760403171,0.9629465486745232,0.9929383362776604
4R2-1,2023,4,2,1,5.288400128483772,5.329299904406071,7.0305004715919495,106.80492000632636,98.74663950066936,1.3294191628438017,0.9245514110662724,0.9673294619964422,0.98946330747609
4R2-2,2023,4,2,2,4.323500022292137,4.866799898445606,5.806700140237808,77.31124557734435,60.08773145911174,1.3430554204459888,0.777218514724333,0.959618605176099,0.976291560869598
4R2-3,2023,4,2,3,6.770500168204308,5.400099977850914,8.971499279141426,158.85454507148282,171.48775360374003,1.6613579963221028,1.0795268937792897,0.9396653664655926,0.97542148665761
4R2-4,2023,4,2,4,7.336900010704994,6.683899834752083,10.249000415205956,203.78970752863808,250.99340304920253,1.533386296712226,1.2316294384687263,0.9442277281034176,0.9772859806082068
4R2-5,2023,4,2,5,4.868600144982338,4.497699998319149,5.346699804067612,74.38927868917402,58.54160640431327,1.1887631024892156,0.7869629526712014,0.9801296648204508,0.989645871588374
4R2-6,2023,4,2,6,6.649800017476082,5.879399925470352,7.306499779224396,141.40779950177682,152.53458087054233,1.2427288280852702,1.0786857684510232,0.976314266978808,0.9897153701199624
4R2-7,2023,4,2,7,6.664500012993813,4.964200034737587,7.240600138902664,123.11079695758288,117.14099529576346,1.458563331097799,0.9515087075272832,0.94043168926692,0.966728053240398
4R2-8,2023,4,2,8,4.97869998216629,5.8372000232338905,6.922800838947296,109.7048442981621,99.98167001055664,1.3904836330256447,0.9113696906475774,0.949595344598576,0.980570645329952
4R2-9,2023,4,2,9,6.174099817872047,6.770700216293335,8.258100226521492,158.69868623786274,177.90470471434773,1.337539150665645,1.1210219122274168,0.9639083633237776,0.9864426806680412
4R2-10,2023,4,2,10,5.852600000798702,5.296000093221664,6.495900079607964,107.60130399778345,101.65837930838283,1.226567213985145,0.9447690272459612,0.9789534572001134,0.9904682644698956
4R3-1,2023,4,3,1,5.776900053024292,6.021299958229065,6.561100855469704,117.310066639646,114.5268473977255,1.1357476839217375,0.9762746768316992,0.9721957397865432,0.9854115184998444
4R3-2,2023,4,3,2,6.829599849879742,7.898000255227089,9.298000484704971,206.75355907207936,261.58507849965406,1.361426831598149,1.2652023001377166,0.9566941277840472,0.988777021553389
4R3-3,2023,4,3,3,4.961000010371208,6.354999914765358,6.560400500893593,109.16247183876348,101.356377319187,1.3223947766939652,0.9284910428640134,0.963041087542504,0.9787143991164752
4R3-4,2023,4,3,4,6.0707999393343925,5.796699970960617,8.806099370121956,146.34277971989042,154.03317379928777,1.5191573506024718,1.052550553529988,0.9495598295107436,0.986018839843732
4R3-5,2023,4,3,5,7.086499780416489,6.428700126707554,10.512900725007055,200.3897824011079,237.21142951060204,1.635307374399375,1.1837501227272682,0.9247669309759422,0.974865158947754
4R3-6,2023,4,3,6,5.879600159823895,5.672100000083447,7.29609951376915,127.48184139052005,128.29167635360287,1.2863136252290706,1.0063525515026257,0.964942533206,0.987977728872342
4R3-7,2023,4,3,7,5.509699881076813,5.396700091660023,8.549700304865837,131.91525247714412,130.24089491142334,1.5842459576507526,0.9873073239501938,0.9419344752987162,0.9903836739731922
4R3-8,2023,4,3,8,5.655100010335445,5.973299778997898,7.384500652551651,127.17356354232676,127.73418185615716,1.3058125654816886,1.0044082928732576,0.964477359695307,0.9894289862467784
4R3-9,2023,4,3,9,7.268100045621395,7.875699922442436,9.865599498152733,224.33481297851364,298.5687508276259,1.3573835577698437,1.330906901445663,0.9629794467333158,0.987444723341417
4R3-10,2023,4,3,10,6.45349994301796,6.707300059497356,9.730099141597748,185.0331748187203,220.0835520858436,1.5077243708857146,1.189427529963006,0.9527074949198842,0.9880846311410002
4R4-1,2023,4,4,1,5.683399923145771,4.9317000433802605,6.005500257015228,95.63159790626266,81.0011534973449,1.217734291256483,0.8470124443255836,0.946695212855778,0.972901809171025
